,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
21,2016/7/31,112,595856.48,93422,157723,2599,342112,341835,242,35.42,conventional,2016,Seattle
22,2016/7/24,110,581023.47,85460,163758,1555,330251,329976,115,159.88,conventional,2016,Seattle
23,2016/7/17,103,639853.23,94220,165714,1624,378295,378187,78,29.27,conventional,2016,Seattle
24,2016/7/10,111,628610.41,103864,163812,6528,354406,354206,146,53.77,conventional,2016,Seattle
25,2016/7/3,110,663580.48,101636,179740,10771,371434,371093,225,115.18,conventional,2016,Seattle
26,2016/6/26,103,638550.37,91565,174576,12226,360183,359261,314,608.55,conventional,2016,Seattle
27,2016/6/19,97,677710.31,101860,193696,11488,370666,369496,306,864.87,conventional,2016,Seattle
28,2016/6/12,101,666340.59,108550,178700,12433,366657,365830,512,314.47,conventional,2016,Seattle
29,2016/6/5,86,866343.38,97147,262684,13269,493244,478960,13578,706.8,conventional,2016,Seattle
30,2016/5/29,87,771235.53,92530,210395,10676,457635,443122,14345,167.89,conventional,2016,Seattle
31,2016/5/22,87,726064.91,92634,212729,10454,410248,324711,85149,388.09,conventional,2016,Seattle
32,2016/5/15,83,844349.33,87749,218296,12760,525545,523712,1383,449.35,conventional,2016,Seattle
33,2016/5/8,82,1007800.54,88762,334254,11094,573690,552847,19203,1640.17,conventional,2016,Seattle
34,2016/5/1,82,858037.45,91136,271005,11464,484433,458041,25901,490.71,conventional,2016,Seattle
35,2016/4/24,88,752138.28,86999,222809,12051,430280,429117,198,965.31,conventional,2016,Seattle
36,2016/4/17,84,862450.87,76011,252921,10372,523147,511072,11420,655.99,conventional,2016,Seattle
37,2016/4/10,93,728447.49,125384,228654,9318,365092,363375,150,1566.84,conventional,2016,Seattle
38,2016/4/3,86,793187.83,111242,191068,9773,481104,480649,107,347.72,conventional,2016,Seattle
39,2016/3/27,85,781581.62,91025,192540,10624,487393,486972,87,333.31,conventional,2016,Seattle
40,2016/3/20,102,596110.62,76059,193207,9182,317663,317318,61,283.16,conventional,2016,Seattle
41,2016/3/13,94,712808.08,71767,189254,10518,441270,440777,139,353.02,conventional,2016,Seattle
42,2016/3/6,88,782395.12,101164,203599,8333,469299,468419,516,363.99,conventional,2016,Seattle
43,2016/2/28,91,737516.16,96853,180912,7587,452164,451747,117,300.05,conventional,2016,Seattle
44,2016/2/21,86,755726.36,56523,215390,8476,475337,474543,391,402.3,conventional,2016,Seattle
45,2016/2/14,98,593651.59,105339,152778,8216,327319,326841,285,193.18,conventional,2016,Seattle
46,2016/2/7,75,1040955.47,110676,347696,6322,576262,573867,1573,821.92,conventional,2016,Seattle
47,2016/1/31,98,666670.45,75853,190463,8910,391445,390709,174,561.83,conventional,2016,Seattle
48,2016/1/24,92,726078.64,100315,253247,7344,365173,363400,1683,89.91,conventional,2016,Seattle
49,2016/1/17,94,788935.31,155213,203618,8795,421309,418855,2394,60.99,conventional,2016,Seattle
50,2016/1/10,86,831911.78,177584,272041,7553,374734,374205,174,355.73,conventional,2016,Seattle
51,2016/1/3,89,814295.85,179152,290450,16135,328559,327228,420,911.66,conventional,2016,Seattle
0,2016/12/25,102,308342.51,121219,62512,2502,122109,72547,49563,0,conventional,2016,SouthCarolina
1,2016/12/18,107,269690.96,103487,56975,2551,106677,62582,44095,0,conventional,2016,SouthCarolina
2,2016/12/11,120,243555.26,106629,42052,2564,92310,60970,31340,0,conventional,2016,SouthCarolina
3,2016/12/4,109,304040.1,122449,64900,3039,113652,56900,56729,23.33,conventional,2016,SouthCarolina
4,2016/11/27,133,229072.3,90091,40561,2813,95607,65375,30153,78.33,conventional,2016,SouthCarolina
5,2016/11/20,134,246915.39,105061,37789,4950,99116,65248,33444,423.33,conventional,2016,SouthCarolina
6,2016/11/13,141,255288.43,127839,40771,8260,78419,42377,35957,85,conventional,2016,SouthCarolina
7,2016/11/6,150,222378.08,97078,42625,9364,73312,39594,33718,0,conventional,2016,SouthCarolina
8,2016/10/30,143,227993.9,99127,45339,9096,74431,40258,34173,0,conventional,2016,SouthCarolina
9,2016/10/23,140,260446.46,128649,52741,6749,72308,42485,29823,0,conventional,2016,SouthCarolina
10,2016/10/16,130,281240.11,117958,64028,6112,93142,49718,43424,0,conventional,2016,SouthCarolina
11,2016/10/9,132,262764.71,109192,56454,4236,92883,57335,35548,0,conventional,2016,SouthCarolina
12,2016/10/2,130,301001.94,128825,66172,7204,98802,63692,34973,137.5,conventional,2016,SouthCarolina
13,2016/9/25,125,327724.02,148998,68555,6100,104071,73929,30142,0,conventional,2016,SouthCarolina
14,2016/9/18,112,331549.04,153617,62718,5941,109274,75354,33919,0,conventional,2016,SouthCarolina
15,2016/9/11,108,341887.56,156751,59266,6695,119176,94007,25095,73.61,conventional,2016,SouthCarolina
16,2016/9/4,103,419927.05,228636,60398,8325,122568,89224,33339,5,conventional,2016,SouthCarolina
17,2016/8/28,111,352297.98,197155,48370,6800,99973,82906,17067,0,conventional,2016,SouthCarolina
18,2016/8/21,108,381549.32,193878,58093,8868,120710,104376,16333,0,conventional,2016,SouthCarolina
19,2016/8/14,111,389639.12,198570,67082,10231,113756,86862,26894,0,conventional,2016,SouthCarolina
20,2016/8/7,117,362625.87,183406,59165,12579,107476,83536,23895,45,conventional,2016,SouthCarolina
21,2016/7/31,118,344490.91,156886,67075,12941,107589,83700,23134,755,conventional,2016,SouthCarolina
22,2016/7/24,118,336673.77,143275,81764,15148,96487,71699,22357,2431.11,conventional,2016,SouthCarolina
23,2016/7/17,117,336050.16,144883,77243,14173,99752,75310,24437,5,conventional,2016,SouthCarolina
24,2016/7/10,108,389300.41,168421,87043,21153,112683,89946,22732,5,conventional,2016,SouthCarolina
25,2016/7/3,95,515792.87,214287,125503,20518,155485,116583,38901,0,conventional,2016,SouthCarolina
26,2016/6/26,107,367778.6,150192,90300,18403,108884,90997,17791,96.67,conventional,2016,SouthCarolina
27,2016/6/19,97,451741.89,211555,100653,20140,119394,85875,31653,1866.67,conventional,2016,SouthCarolina
28,2016/6/12,104,357902.32,161172,80778,19782,96170,73086,17293,5791.67,conventional,2016,SouthCarolina
29,2016/6/5,94,416168.39,186493,103324,16910,109441,66829,37355,5256.67,conventional,2016,SouthCarolina
30,2016/5/29,97,441398.16,188093,120645,15040,117621,63638,50673,3310,conventional,2016,SouthCarolina
31,2016/5/22,104,343576.29,135034,98568,6910,103064,59372,40068,3624.42,conventional,2016,SouthCarolina
32,2016/5/15,89,422276.07,153126,137073,6162,125916,69081,56332,502.18,conventional,2016,SouthCarolina
33,2016/5/8,82,504149.45,216508,132765,6507,148369,95501,52833,35.88,conventional,2016,SouthCarolina
34,2016/5/1,76,591962.95,251274,163223,6282,171184,100786,70399,0,conventional,2016,SouthCarolina
35,2016/4/24,93,420066.9,151185,146951,6258,115672,61890,53782,0,conventional,2016,SouthCarolina
36,2016/4/17,101,370690.55,153726,109476,5465,102024,67728,34296,0,conventional,2016,SouthCarolina
37,2016/4/10,96,397990.96,158605,126385,6057,106944,57961,48983,0,conventional,2016,SouthCarolina
38,2016/4/3,105,340564.79,150247,97714,6435,86169,63628,22540,0,conventional,2016,SouthCarolina
39,2016/3/27,107,315023.95,136388,91996,7331,79310,61407,17903,0,conventional,2016,SouthCarolina
40,2016/3/20,107,331531.06,149730,94542,8317,78942,60251,18691,0,conventional,2016,SouthCarolina
41,2016/3/13,96,414943.26,175359,127187,8979,103419,65809,37605,5.52,conventional,2016,SouthCarolina
42,2016/3/6,106,325786.78,156335,90668,8138,70646,52685,17962,0,conventional,2016,SouthCarolina
43,2016/2/28,93,387740.23,178407,112748,7039,89546,53433,36114,0,conventional,2016,SouthCarolina
44,2016/2/21,104,302654.13,145774,82587,7362,66932,49805,17127,0,conventional,2016,SouthCarolina
45,2016/2/14,91,342704.71,180058,81397,6594,74656,50158,24498,0,conventional,2016,SouthCarolina
46,2016/2/7,69,593759.78,307136,151186,13084,122355,61004,61341,10.77,conventional,2016,SouthCarolina
47,2016/1/31,101,312455.27,159089,88741,9167,55459,38452,17007,0,conventional,2016,SouthCarolina
48,2016/1/24,95,317032.31,145617,92971,9677,68768,43452,25315,0,conventional,2016,SouthCarolina
49,2016/1/17,105,287599.16,149490,74437,9610,54062,42971,11091,0,conventional,2016,SouthCarolina
50,2016/1/10,98,322434.61,171276,76297,9960,64902,42726,22176,0,conventional,2016,SouthCarolina
51,2016/1/3,103,319228.46,195470,64802,10726,48231,39156,9075,0,conventional,2016,SouthCarolina
0,2016/12/25,79,5630041.84,2676153,1320134,20053,1613702,1288632,301809,23261.07,conventional,2016,SouthCentral
1,2016/12/18,72,5483207.89,2789696,1116482,15772,1561258,1144739,383504,33014.83,conventional,2016,SouthCentral
2,2016/12/11,76,5031206.93,2633723,987150,18327,1392007,939912,435549,16546.02,conventional,2016,SouthCentral
3,2016/12/4,76,5584114.56,3146436,1023317,18795,1395566,1039670,344664,11232.63,conventional,2016,SouthCentral
4,2016/11/27,93,4064847.35,2342116,747939,14620,960172,817185,133945,9042.64,conventional,2016,SouthCentral
5,2016/11/20,106,4150510.67,2351203,871662,16553,911093,735264,173418,2411.32,conventional,2016,SouthCentral
6,2016/11/13,111,4224677.32,2338884,971219,22128,892446,710489,180469,1488.18,conventional,2016,SouthCentral
7,2016/11/6,116,4214624.13,2443877,789648,16495,964604,771794,191201,1609.68,conventional,2016,SouthCentral
8,2016/10/30,119,3733135.22,1917985,802090,19653,993408,733102,242673,17632.8,conventional,2016,SouthCentral
9,2016/10/23,109,4477594.56,2043311,1016611,20588,1397085,1228548,140925,27611.87,conventional,2016,SouthCentral
10,2016/10/16,103,4967651.41,2588087,984551,18419,1376595,1088287,263848,24459.21,conventional,2016,SouthCentral
11,2016/10/9,100,5416591.81,2650641,1376612,32867,1356472,1118453,222547,15472.65,conventional,2016,SouthCentral
12,2016/10/2,101,5006659.75,2488199,1053486,17352,1447623,1091904,338402,17316.42,conventional,2016,SouthCentral
13,2016/9/25,98,5344837.49,2674487,1129009,15831,1525510,1094937,409425,21148.04,conventional,2016,SouthCentral
14,2016/9/18,86,6130653.55,3357771,1103971,16479,1652432,1446564,189482,16386.27,conventional,2016,SouthCentral
15,2016/9/11,82,6236078.55,3652516,1003812,15093,1564658,1379670,173093,11894.76,conventional,2016,SouthCentral
16,2016/9/4,78,6802635.25,3749549,1321332,18544,1713211,1488491,188923,35796.61,conventional,2016,SouthCentral
17,2016/8/28,84,5775721.7,3166010,1144645,17936,1447132,1259358,142471,45303.54,conventional,2016,SouthCentral
18,2016/8/21,87,5682046.61,3137489,1105902,25630,1413025,1245189,153644,14191.33,conventional,2016,SouthCentral
19,2016/8/14,94,5385035.37,3062124,1103048,21617,1198246,1034295,157810,6141.73,conventional,2016,SouthCentral
20,2016/8/7,93,5647940.41,3263107,1162455,24523,1197855,1035008,149412,13434.76,conventional,2016,SouthCentral
21,2016/7/31,98,5130900.02,2925166,1026989,25255,1153490,969971,169617,13901.83,conventional,2016,SouthCentral
22,2016/7/24,97,5528475.32,3073632,1095931,29835,1329077,1169825,105003,54249.87,conventional,2016,SouthCentral
23,2016/7/17,94,5449441.63,2950117,1052371,44559,1402395,1297883,87850,16661.28,conventional,2016,SouthCentral
24,2016/7/10,91,5646460.01,3069816,1012710,189692,1374242,1233355,92636,48251.04,conventional,2016,SouthCentral
25,2016/7/3,91,6494533.3,3114587,1226469,522837,1630640,1398829,124716,107095.23,conventional,2016,SouthCentral
26,2016/6/26,89,6046264.46,3148032,995500,425640,1477093,1226902,190503,59687.99,conventional,2016,SouthCentral
27,2016/6/19,89,6005535.29,3271758,1118583,346244,1268950,1062854,167591,38504.73,conventional,2016,SouthCentral
28,2016/6/12,85,6195284.67,3356664,1079764,423779,1335078,964900,307837,62341.23,conventional,2016,SouthCentral
29,2016/6/5,83,6351400.69,3351333,1281792,355042,1363234,976198,325422,61614.73,conventional,2016,SouthCentral
30,2016/5/29,80,6239677.27,3270603,1322066,347794,1299214,1034533,229576,35104.69,conventional,2016,SouthCentral
31,2016/5/22,72,6680323.25,3128528,1539489,537748,1474559,1071647,348148,54763.01,conventional,2016,SouthCentral
32,2016/5/15,73,6728120.77,3283251,1441163,459078,1544629,1146035,389114,9479.1,conventional,2016,SouthCentral
33,2016/5/8,72,7281887.35,3666928,1367081,697833,1550045,1225103,315129,9812.59,conventional,2016,SouthCentral
34,2016/5/1,71,6953488.71,3400699,1559296,398632,1594861,1215673,368205,10983.61,conventional,2016,SouthCentral
35,2016/4/24,70,6893900.54,3348754,1465438,564146,1515562,1161264,346495,7803.99,conventional,2016,SouthCentral
36,2016/4/17,71,6657073.54,3651444,1058770,617896,1328964,1124257,195845,8861.55,conventional,2016,SouthCentral
37,2016/4/10,73,6414263.17,3665847,870524,556972,1320919,1124850,183289,12781.04,conventional,2016,SouthCentral
38,2016/4/3,74,6154503.04,3321836,1083779,649669,1099219,896073,198722,4424.15,conventional,2016,SouthCentral
39,2016/3/27,77,6553308.82,3137633,1507245,660825,1247605,951744,288346,7515.8,conventional,2016,SouthCentral
40,2016/3/20,77,6276764.8,3064744,1411797,653142,1147083,882135,256004,8942.99,conventional,2016,SouthCentral
41,2016/3/13,79,5894070.33,3228471,1083004,698857,883739,731907,144962,6870.35,conventional,2016,SouthCentral
42,2016/3/6,78,5848140.87,3596736,903361,390175,957869,822317,128135,7417.69,conventional,2016,SouthCentral
43,2016/2/28,77,5698454.09,3528192,930353,337160,902750,791893,104430,6426.37,conventional,2016,SouthCentral
44,2016/2/21,82,5108381.41,2872173,1020822,423920,791466,658990,124052,8424.37,conventional,2016,SouthCentral
45,2016/2/14,70,6349601.68,3382977,1416071,718464,832091,662650,147944,21495.98,conventional,2016,SouthCentral
46,2016/2/7,70,7606351.8,3823016,1930304,804558,1048473,756323,197395,94756.02,conventional,2016,SouthCentral
47,2016/1/31,79,5850128.4,3003443,1462783,521213,862689,623664,133279,105746.33,conventional,2016,SouthCentral
48,2016/1/24,94,3898235.29,1193350,1530144,245809,928933,705849,159610,63474.77,conventional,2016,SouthCentral
49,2016/1/17,81,5735627.03,2836078,1756469,373210,769871,621920,136802,11148.21,conventional,2016,SouthCentral
50,2016/1/10,84,5647635.02,2683173,1900835,263562,800065,656702,140938,2424.94,conventional,2016,SouthCentral
51,2016/1/3,79,5693942.07,2512692,2024262,361424,795564,682312,109448,3804.23,conventional,2016,SouthCentral
0,2016/12/25,94,3722102.33,1449894,760830,5643,1505735,736767,767156,1811.94,conventional,2016,Southeast
1,2016/12/18,96,3413410.59,1236271,729401,8173,1439566,670843,766286,2436.67,conventional,2016,Southeast
2,2016/12/11,121,2648135.47,1055827,463051,4656,1124601,630164,492522,1915.56,conventional,2016,Southeast
3,2016/12/4,99,3941512.2,1481392,851643,5134,1603343,644607,957516,1219.17,conventional,2016,Southeast
4,2016/11/27,139,2408199.34,943433,459434,4791,1000540,509394,490243,903.05,conventional,2016,Southeast
5,2016/11/20,138,2670425.59,1054588,480430,8082,1127325,592607,532646,2071.67,conventional,2016,Southeast
6,2016/11/13,137,2819888.75,1219549,506555,13358,1080426,543744,535603,1079.72,conventional,2016,Southeast
7,2016/11/6,144,2590997.85,1086704,508907,14548,980840,432321,547444,1074.72,conventional,2016,Southeast
8,2016/10/30,144,2502552.63,1006135,517368,14441,964608,416179,545707,2721.39,conventional,2016,Southeast
9,2016/10/23,143,2704875.68,1086334,625236,11469,981836,435848,543597,2391.94,conventional,2016,Southeast
10,2016/10/16,124,3233029.42,1219511,791522,10218,1211778,420581,790114,1083.61,conventional,2016,Southeast
11,2016/10/9,137,2885138.33,1122505,657058,7240,1098336,516483,580236,1616.39,conventional,2016,Southeast
12,2016/10/2,138,3106952.74,1267964,621971,10940,1206077,602428,602150,1500,conventional,2016,Southeast
13,2016/9/25,132,3266161.45,1398880,588360,9606,1269316,691449,573139,4728.06,conventional,2016,Southeast
14,2016/9/18,111,3403999.22,1501213,566389,9444,1326953,706832,617002,3118.33,conventional,2016,Southeast
15,2016/9/11,108,3431698.41,1673305,497550,10178,1250665,791920,455459,3286.94,conventional,2016,Southeast
16,2016/9/4,96,4804279.06,2776885,664440,12529,1350426,771445,574733,4247.78,conventional,2016,Southeast
17,2016/8/28,111,3580022.43,1919441,610782,10303,1039496,738944,290856,9696.95,conventional,2016,Southeast
18,2016/8/21,111,3716886.69,1923227,648952,13450,1131257,827155,276588,27515.28,conventional,2016,Southeast
19,2016/8/14,109,4230674.67,2241425,738177,15287,1235785,745879,467642,22264.17,conventional,2016,Southeast
20,2016/8/7,118,3419326.48,1628428,687208,18598,1085092,710560,328992,45540.28,conventional,2016,Southeast
21,2016/7/31,118,3329108.94,1502915,710445,18938,1096810,724984,322569,49256.67,conventional,2016,Southeast
22,2016/7/24,117,3381732.73,1485492,845297,21370,1029574,657021,314633,57919.44,conventional,2016,Southeast
23,2016/7/17,115,3408142.71,1466379,813315,20302,1108146,705841,335919,66386.94,conventional,2016,Southeast
24,2016/7/10,110,3646868.94,1599856,848789,29960,1168263,785437,322740,60086.67,conventional,2016,Southeast
25,2016/7/3,91,5432816.58,2549453,1175339,30343,1677681,1031656,559976,86048.34,conventional,2016,Southeast
26,2016/6/26,109,3619364.21,1630877,777463,26639,1184385,850212,280635,53537.78,conventional,2016,Southeast
27,2016/6/19,94,4665536.74,2441553,936051,30691,1257241,699685,498429,59126.67,conventional,2016,Southeast
28,2016/6/12,107,3393712.37,1757284,592433,30505,1013490,641109,295048,77332.5,conventional,2016,Southeast
29,2016/6/5,91,4563745.14,2504517,823705,26309,1209213,563931,574578,70704.16,conventional,2016,Southeast
30,2016/5/29,92,4829487.03,2562670,971083,23770,1271965,531132,696043,44790.27,conventional,2016,Southeast
31,2016/5/22,105,3416062.07,1634621,666118,11953,1103370,536817,512210,54343.36,conventional,2016,Southeast
32,2016/5/15,82,5002102.24,2115292,1218469,10066,1658275,610051,1029088,19136.03,conventional,2016,Southeast
33,2016/5/8,86,4651540.06,2196755,933113,10776,1510896,712577,795541,2777.48,conventional,2016,Southeast
34,2016/5/1,75,6415228.14,2875233,1472240,10665,2057091,738083,1318520,487.5,conventional,2016,Southeast
35,2016/4/24,84,5062464.54,2132612,1298673,10942,1620237,542496,1072748,4993.67,conventional,2016,Southeast
36,2016/4/17,101,3673260.93,1705009,779185,8861,1180206,556255,622049,1901.81,conventional,2016,Southeast
37,2016/4/10,86,4792907.32,2127099,1116067,10187,1539555,519721,1017680,2153.65,conventional,2016,Southeast
38,2016/4/3,104,3507226.18,1812848,636305,12154,1045919,551758,494161,0,conventional,2016,Southeast
39,2016/3/27,105,3242245.67,1671683,604703,13926,951934,530183,421736,15.05,conventional,2016,Southeast
40,2016/3/20,105,3304400.62,1726223,616754,15753,945670,506482,439188,0,conventional,2016,Southeast
41,2016/3/13,88,4688502.05,2211226,1041734,17715,1417828,527241,890581,6.03,conventional,2016,Southeast
42,2016/3/6,107,3161231.11,1642178,592206,14795,912052,493727,418325,0,conventional,2016,Southeast
43,2016/2/28,84,4740050.22,2325377,994256,13243,1407174,528218,878956,0,conventional,2016,Southeast
44,2016/2/21,104,3068786.09,1586507,590120,13665,878493,459450,419044,0,conventional,2016,Southeast
45,2016/2/14,98,3234338.23,1737635,613314,12099,871290,499341,371949,0,conventional,2016,Southeast
46,2016/2/7,62,6847218.72,3614202,1364491,22097,1846428,740217,1106150,60.43,conventional,2016,Southeast
47,2016/1/31,102,3318109.53,1774274,625042,15261,903533,485346,418187,0,conventional,2016,Southeast
48,2016/1/24,90,3895844.89,2092736,663828,16838,1122442,570261,552166,15.09,conventional,2016,Southeast
49,2016/1/17,109,2913810.18,1721273,425617,16862,750058,507151,242856,51.31,conventional,2016,Southeast
50,2016/1/10,93,4132191.54,2536174,558424,17018,1020576,489927,530649,0,conventional,2016,Southeast
51,2016/1/3,106,3280451.38,2208432,339055,17651,715314,482359,232943,12.04,conventional,2016,Southeast
0,2016/12/25,115,69054.97,13135,22889,43,32988,32947,13,28.01,conventional,2016,Spokane
1,2016/12/18,97,78377.53,11469,24326,27,42556,42186,362,7.63,conventional,2016,Spokane
2,2016/12/11,96,91423.14,12118,27759,34,51512,50879,425,208.54,conventional,2016,Spokane
3,2016/12/4,140,59510.92,10872,19424,313,28902,28878,9,15.24,conventional,2016,Spokane
4,2016/11/27,149,49762.2,8072,17786,33,23871,23853,13,5.08,conventional,2016,Spokane
5,2016/11/20,114,81018.31,9351,25545,24,46097,45969,5,124.15,conventional,2016,Spokane
6,2016/11/13,107,99460.72,12238,31223,35,55965,55562,81,321.56,conventional,2016,Spokane
7,2016/11/6,148,61365.68,11312,21354,20,28679,28639,5,35.41,conventional,2016,Spokane
8,2016/10/30,139,51300.44,8157,15740,118,27286,27170,0,116.19,conventional,2016,Spokane
9,2016/10/23,123,79477.96,8981,34481,19,35996,35886,45,65.28,conventional,2016,Spokane
10,2016/10/16,133,68850.22,13123,19622,47,36058,34881,1171,4.99,conventional,2016,Spokane
11,2016/10/9,119,76241.91,13780,19166,71,43226,33043,10182,0,conventional,2016,Spokane
12,2016/10/2,87,131585.32,12841,28798,152,89795,45597,43887,310.9,conventional,2016,Spokane
13,2016/9/25,109,86853.6,17515,19839,125,49375,39037,10338,0,conventional,2016,Spokane
14,2016/9/18,105,74748.35,17028,21111,379,36230,32497,3721,12.2,conventional,2016,Spokane
15,2016/9/11,98,83096.19,25161,14719,1572,41643,41634,0,9.71,conventional,2016,Spokane
16,2016/9/4,112,83575.85,27415,15404,1519,39238,39194,17,26.56,conventional,2016,Spokane
17,2016/8/28,112,83627.94,24063,18387,1858,39321,39316,0,4.81,conventional,2016,Spokane
18,2016/8/21,109,87249.43,27169,14030,2001,44049,44034,9,7.18,conventional,2016,Spokane
19,2016/8/14,114,83933.43,24616,16235,2321,40762,40759,0,2.38,conventional,2016,Spokane
20,2016/8/7,116,89531.14,28152,21160,1816,38403,38394,0,9.48,conventional,2016,Spokane
21,2016/7/31,114,83902.91,25236,15512,1168,41986,41986,0,0,conventional,2016,Spokane
22,2016/7/24,108,82617.47,24997,15529,211,41881,41881,0,0,conventional,2016,Spokane
23,2016/7/17,98,92386.91,25708,15297,159,51223,51218,0,4.77,conventional,2016,Spokane
24,2016/7/10,106,90750.72,28564,16331,1199,44657,44566,34,57.54,conventional,2016,Spokane
25,2016/7/3,109,97365.48,29447,19298,3407,45212,44836,350,26.54,conventional,2016,Spokane
26,2016/6/26,102,90301.82,24210,18082,3974,44036,44033,0,2.43,conventional,2016,Spokane
27,2016/6/19,96,91554.79,27585,19850,2998,41122,41041,56,24.36,conventional,2016,Spokane
28,2016/6/12,99,93820.2,31353,17048,3152,42267,37812,4447,7.47,conventional,2016,Spokane
29,2016/6/5,87,125934.24,29094,30006,5361,61474,60082,1384,7.46,conventional,2016,Spokane
30,2016/5/29,87,109604.3,29399,21853,3013,55339,55214,110,14.89,conventional,2016,Spokane
31,2016/5/22,89,100552.55,28757,23439,3207,45151,36361,8782,7.42,conventional,2016,Spokane
32,2016/5/15,85,111993.65,24776,22869,3401,60947,60820,32,95.66,conventional,2016,Spokane
33,2016/5/8,84,127403.24,32461,34939,3174,56830,55178,1553,98.44,conventional,2016,Spokane
34,2016/5/1,86,116347.79,30544,28946,3451,53407,53362,0,44.17,conventional,2016,Spokane
35,2016/4/24,95,95660.52,26549,21236,2948,44928,44270,631,26.92,conventional,2016,Spokane
36,2016/4/17,82,131734.46,23286,29662,3467,75319,75099,69,151.07,conventional,2016,Spokane
37,2016/4/10,96,103998.99,31093,26585,3378,42944,42825,0,118.78,conventional,2016,Spokane
38,2016/4/3,92,98398.44,23190,22272,3270,49667,48727,930,9.64,conventional,2016,Spokane
39,2016/3/27,81,110616.23,21799,22446,3116,63256,63172,0,83.99,conventional,2016,Spokane
40,2016/3/20,102,83457.56,24107,19605,3092,36653,36639,4,9.57,conventional,2016,Spokane
41,2016/3/13,93,94531.04,22600,17656,3141,51134,51070,0,64.43,conventional,2016,Spokane
42,2016/3/6,91,101869.42,23604,22577,3132,52556,52480,59,16.68,conventional,2016,Spokane
43,2016/2/28,95,92596.44,21928,19964,2886,47818,47751,30,38.12,conventional,2016,Spokane
44,2016/2/21,82,112075.27,16913,27399,2941,64822,64779,13,31.01,conventional,2016,Spokane
45,2016/2/14,95,81626.44,22684,21398,2422,35122,35053,53,16.73,conventional,2016,Spokane
46,2016/2/7,74,154732.54,25010,56113,1284,72326,72053,91,181.9,conventional,2016,Spokane
47,2016/1/31,100,88040.94,19600,19031,3498,45913,45821,77,14.38,conventional,2016,Spokane
48,2016/1/24,97,89537.48,14123,29929,2793,42693,42637,17,38.42,conventional,2016,Spokane
49,2016/1/17,98,100754.26,20833,23920,3527,52474,52342,133,0,conventional,2016,Spokane
50,2016/1/10,88,111604.85,25931,32689,3215,49770,49569,51,148.98,conventional,2016,Spokane
51,2016/1/3,90,113049.35,25325,37805,4624,45295,43671,1486,138.07,conventional,2016,Spokane
0,2016/12/25,102,132034.47,58511,9135,60,64328,47504,16824,0,conventional,2016,StLouis
1,2016/12/18,97,137885.02,58409,7757,50,71669,52786,18883,0,conventional,2016,StLouis
2,2016/12/11,111,117572.64,38790,6952,146,71684,57071,14613,0,conventional,2016,StLouis
3,2016/12/4,110,118176.43,40781,6623,37,70735,40392,30344,0,conventional,2016,StLouis
4,2016/11/27,116,100424.14,34165,6474,16,59769,40665,19104,0,conventional,2016,StLouis
5,2016/11/20,129,99930.79,40938,8786,86,50121,35285,14836,0,conventional,2016,StLouis
6,2016/11/13,134,128094.25,59890,11029,98,57078,40602,16477,0,conventional,2016,StLouis
7,2016/11/6,125,139697.75,64239,10904,98,64456,45157,19079,219.44,conventional,2016,StLouis
8,2016/10/30,101,128966.42,51882,6010,59,71015,45592,25423,0,conventional,2016,StLouis
9,2016/10/23,95,184407,90464,8444,49,85450,61304,24147,0,conventional,2016,StLouis
10,2016/10/16,129,124201.08,53894,12564,47,57696,42853,14843,0,conventional,2016,StLouis
11,2016/10/9,130,125599.65,49980,19770,125,55724,39013,16710,0,conventional,2016,StLouis
12,2016/10/2,116,140030.37,51859,14341,36,73795,41062,32733,0,conventional,2016,StLouis
13,2016/9/25,106,165887.64,89035,12644,25,64184,38326,25858,0,conventional,2016,StLouis
14,2016/9/18,117,147517.96,46991,23066,59,77402,50959,26367,76.39,conventional,2016,StLouis
15,2016/9/11,105,182676.07,97943,20573,32,64128,50775,13353,0,conventional,2016,StLouis
16,2016/9/4,116,151456.08,41710,27154,132,82460,59982,17076,5401.55,conventional,2016,StLouis
17,2016/8/28,115,133188.79,43864,22002,99,67224,43548,19095,4579.85,conventional,2016,StLouis
18,2016/8/21,103,184060.51,45179,23410,167,115305,98023,6778,10504.15,conventional,2016,StLouis
19,2016/8/14,91,230729.63,53921,22788,255,153767,137801,10454,5511.34,conventional,2016,StLouis
20,2016/8/7,85,268010.32,62086,28665,213,177047,154944,9250,12852.77,conventional,2016,StLouis
21,2016/7/31,103,214273.18,54119,28848,230,131076,109459,6537,15079.49,conventional,2016,StLouis
22,2016/7/24,94,255732.97,75714,23532,440,156047,132587,11498,11961.34,conventional,2016,StLouis
23,2016/7/17,88,261737.36,53603,25828,304,182001,152990,20179,8831.82,conventional,2016,StLouis
24,2016/7/10,74,314847.96,61310,22959,663,229916,204560,13138,12217.52,conventional,2016,StLouis
25,2016/7/3,76,348135.49,65689,21478,467,260501,225967,21421,13113.27,conventional,2016,StLouis
26,2016/6/26,97,236899.58,70090,10839,750,155221,126592,14354,14274.75,conventional,2016,StLouis
27,2016/6/19,95,254402.94,68071,14770,81,171480,139118,27584,4778.36,conventional,2016,StLouis
28,2016/6/12,92,251349.57,63118,10829,89,177314,139480,19316,18517.91,conventional,2016,StLouis
